trade_id; type;stop_loss_pct ;date ;return_pct_absolute;return_pct_risk;iv
1;SHORT ;8.48;15/11/2021;15.43;9.1;1.090978774
2;SHORT2;28.28;26/11/2021;8.16;2.89;1.028854314
3;LONG;15.05;11/12/2021;-6.46;-2.15;0.978538206
4;SHORT ;8.69;17/12/2021;-5.88;-3.38;0.966168009
5;LONG;14.23;21/12/2021;-2.83;-0.99;0.990056219
6;SHORT ;13.32;28/12/2021;10.11;3.8;1.03795045
7;LONG;7.43;11/01/2022;-1.13;-0.76;0.992395693
8;SHORT ;5.21;17/01/2022;13.09;12.56;1.1256238
9;LONG;10.28;24/01/2022;10.43;5.07;1.050729572
10;LONG2;20.75;04/02/2022;-2.46;-1.19;0.988144578
11;SHORT ;10.43;17/02/2022;5.64;2.7;1.027037392
12;LONG;4.97;22/02/2022;-4.97;-5;0.95
13;LONG;12.51;25/02/2022;-2.02;-0.81;0.991926459
14;SHORT ;17.93;06/03/2022;-0.82;-0.23;0.99771333
15;LONG;4.09;08/03/2022;0;0;1
16;SHORT ;9.97;11/03/2022;-7.91;-3.97;0.960330993
17;LONG;11.07;18/03/2022;-1.32;-0.6;0.99403794
18;SHORT ;2.82;20/03/2022;-2.82;-5;0.95
19;SHORT ;5.97;31/03/2022;5.11;4.28;1.04279732
20;SHORT2;11.67;06/04/2022;8.12;6.96;1.06958012
21;LONG;5.76;04/05/2022;-5.76;-5;0.95
22;SHORT ;32.03;05/05/2022;17.79;2.78;1.02777084
23;LONG;15.43;14/05/2022;-3.17;-1.03;0.989727803
24;SHORT ;8.01;23/05/2022;0.24;0.15;1.001498127
25;LONG;12.44;28/05/2022;2.27;0.91;1.009123794
26;SHORT ;9.12;03/06/2022;24.33;13.34;1.133388158
27;SHORT2;44.21;13/06/2022;14.06;3.18;1.03180276
28;LONG;8.82;03/07/2022;8.09;4.59;1.045861678
29;SHORT ;7.41;10/07/2022;1.34;0.9;1.009041835
30;LONG;8.12;14/07/2022;10.23;6.3;1.062992611
31;SHORT ;7.05;22/07/2022;-1.26;-0.89;0.99106383
32;LONG;9.88;27/07/2022;3.91;1.98;1.019787449
33;SHORT ;5.64;16/08/2022;15.67;13.89;1.13891844
34;LONG;2.99;01/09/2022;-2.99;-5;0.95
35;SHORT ;8.79;06/09/2022;-2.84;-1.62;0.983845279
36;LONG;4.05;08/09/2022;1.91;2.36;1.023580247
37;SHORT ;15.69;15/09/2022;1.46;0.47;1.004652645
38;LONG;6.42;22/09/2022;-3.06;-2.38;0.976168224
39;SHORT ;5.81;25/09/2022;-2.21;-1.9;0.980981067
40;LONG;5.56;26/09/2022;-0.91;-0.82;0.991816547
41;SHORT ;6.98;02/10/2022;-3.07;-2.2;0.978008596
42;LONG;7.53;03/10/2022;1.6;1.06;1.01062417
43;SHORT ;2.6;06/10/2022;2.88;5.54;1.055384615
44;LONG;9.21;13/10/2022;-1.01;-0.55;0.99451683
45;SHORT ;3.99;14/10/2022;-2.05;-2.57;0.974310777
46;LONG;4.67;23/10/2022;2.96;3.17;1.031691649
47;SHORT ;4.58;02/11/2022;-4.58;-5;0.95
48;LONG;16.83;04/11/2022;-16.83;-5;0.95
49;SHORT ;15.76;08/11/2022;7.12;2.26;1.022588832
